Dealer Code,Dealer Code Description,Dealer City,PCR Number,PCR Year,VC Number,VC Description,Model,Sub Model,Chassis No,Chassis Type,Production Month,Kilometers Covered,Complaint Aggregate,Complaint Aggregate Description,Complaint Group,Complaint Group Description,Complaint Code,Complaint Code Description,Sale Month,Complaint Month,Complaint Reported Date,Diff between Complaint & Sales Month,Settlement Month,Settlement Date,Claim Category,Claim Category Description,Claims Indicator,No. of Complaints,Part Number,Part Description,Part Quantity,Part Rate,Actual Labour Charge,Miscellaneous Charge,Special Labour Charges,Total Expenses,Credit Amount,Customer Complaint,Investigation,Action Taken
2000150,SHIVAM MOTORS (P) LTD,BILASPUR,789,2018,55301145000R,TATA Ultra 1518 5L / 45WB BS IV,ULTRA1518,ULTRA1518-LPT,MAT764011J7A00141,764011,JAN 2018,35001,E1,CHASSIS FRAME,EB31011,CROSS MEMBER BROKEN/CRACKED,EB31021,C J BRG CROSS MEMBER CRACKED,JAN 2018,SEP 2018,07.09.2018,8,SEP 2018,19.09.2018,1,Normal Warranty,Regular Claims,0,585889100101,ASSY_CROSS_TUBE_COMPLETE,1,4107.25,165,369.65,205.36,4847.26,4847.26,CABIN VIBRATION WHILE VEHICLE IN MOTION,VEHICLE REPORTED WITH THE COMPLAINT OF CABIN VIBRATION WHILEVEHICLE INMOTION ON INVESTIGATION FOUND CABIN CROSS TUBE RH SIDE BROKEN ALSOFOUND BUSH GOT CRACKED NO EXTERNAL HITTING MARK OBSERVED LOW KMFAILURE,Cabin Cross Tube Rh Side Replaced Under Warrantydefer Txt 0002
2000150,SHIVAM MOTORS (P) LTD,BILASPUR,830,2018,29001342000R,TATA LPT 1109 HEX2 / 42 BS IV,1109,1109H-LPT-CRDI,MAT508582J7C05126,508582,MAR 2018,20429,Q1,ELECTRICALS,QB54089,COMBI-SWITCH DEFECTIVE,QB54849,COMBI PARKING LIGHT SWITCH DEFECTIVE,MAR 2018,SEP 2018,10.09.2018,6,SEP 2018,25.09.2018,1,Normal Warranty,Regular Claims,1,265454510119,COMBI SWITCH RHD,1,989.84,110,89.09,49.49,1238.42,1238.42,PARKING LIGHT NOT WORKING,AFTER INVESTIGATION WE FOUND PARKING LIGHT NOT WORKING DUE TOCOMBINATION SWITCH DEFECTIVE,Combination Switch Replaced Under Warrantydefertxt 0002
2000150,SHIVAM MOTORS (P) LTD,BILASPUR,1095,2018,55301145000R,TATA Ultra 1518 5L / 45WB BS IV,ULTRA1518,ULTRA1518-LPT,MAT764011J7A00141,764011,JAN 2018,42661,Q1,ELECTRICALS,QB54159,HORN DEFECTIVE,QB54159,HORN DEFECTIVE,JAN 2018,OCT 2018,27.10.2018,9,NOV 2018,13.11.2018,1,Normal Warranty,Regular Claims,1,281654209944,HORN DISC TYPE HIGH TONE 24V,1,335.7,72.5,30.21,16.79,455.2,455.2,HORN NOT BLOWING,AFTER INVESTIGATION WE FOUND HORN NOT BLOWING DUE TO INTERNAL DEFECTIVE FAILED MAKE MINDA,Horn Replaced Under Warrantydefer Txt 0002
2000150,SHIVAM MOTORS (P) LTD,BILASPUR,1429,2018,55301253000RLF14,ULTRA 1518/53 BS4 - 24FT HDLB,ULTRA1518,ULTRA1518-LPT,MAT764102J7B04343,764102,FEB 2018,35886,K1,BRAKES,KD43170,RELAY VALVE DEFECTIVE (BRAKE),KD43170,RELAY VALVE DEFECTIVE,MAY 2018,DEC 2018,19.12.2018,7,DEC 2018,25.12.2018,1,Normal Warranty,Regular Claims,1,278243700147,RELAY VALVE VOSS PORTS,1,2127.99,145,222.08,106.4,2601.47,2601.47,BRAKE GRABBING,AFTER INVESTIGATION WE FOUND AIR PRESSURE RELAY VALVE GOT INTERNALDEFECTIVE,Air Pressure Relay Valve Replaced Under Warrantydefer Txt 0002
2000150,SHIVAM MOTORS (P) LTD,BILASPUR,1483,2018,55301145000R,TATA Ultra 1518 5L / 45WB BS IV,ULTRA1518,ULTRA1518-LPT,MAT764011J7B04739,764011,FEB 2018,31399,N1,RADIATOR,NA50019,RADIATOR LEAKAGE,NA50019,RADIATOR LEAKING FROM BOTTOM TANK,MAR 2018,DEC 2018,12.12.2018,9,MAR 2019,12.03.2019,1,Normal Warranty,Labour Only Claims,1,#,Not assigned,0,0,0,0,2693,2693,2693,COOLANT AND STRG OIL LEAKAGE,AFTER INVESTIGATION FOUND COOLANT LEAKAGE FROM RADIATOR BOTTOM TANK REPAIRED THE SAME AND 08 LTR COOLANT TOP UP DONE ALSO FOUND STRG PIPE HIGH PRESSURE GOT TORN REPAIRED THE SAME 03LTR OIL TOP UP DONE VEHICLE MADE ON ROAD,An Amount Of Rs 600 - Radiator Repairing And Rs 2093 -break Up 08ltr Coolant Rs 190 Ltr = 1520 - And 03ltr Strgoil Rs 191 Ltr=573 - Claimed As Spl Charge Under Warranty
2000150,SHIVAM MOTORS (P) LTD,BILASPUR,1710,2018,26422238000R,LP712/38WB BS4 TMML FES OBDII(ABS),712,712-LP,MAT513102J7B03472,513102,FEB 2018,19810,Q1,ELECTRICALS,QB54940,ERROR IN ENGINE PERFORMANCE ATTENDED BY DIAGNOSTIC KIT,QB54940,ERROR IN ENGINE PERFORMANCE ATTENDED BY DIAGNOSTIC KIT,MAY 2018,JAN 2019,15.01.2019,8,MAR 2019,20.03.2019,1,Normal Warranty,Labour Only Claims,1,#,Not assigned,0,0,290,0,0,290,290,POOR PICKUP,VEHICLE REPORTED AT W S WITH THE COMPLAINT OF POOR PICKUP WEHAVECHECKED WITH INSITE AND FOUND FAULT CODE 3236 IN ACTIVEMODE,We Have Rectified Fault Code
2000150,SHIVAM MOTORS (P) LTD,BILASPUR,1794,2018,29001342000R,TATA LPT 1109 HEX2 / 42 BS IV,1109,1109H-LPT-CRDI,MAT508582J7C05126,508582,MAR 2018,40500,Q1,ELECTRICALS,QB54940,ERROR IN ENGINE PERFORMANCE ATTENDED BY DIAGNOSTIC KIT,QB54940,ERROR IN ENGINE PERFORMANCE ATTENDED BY DIAGNOSTIC KIT,MAR 2018,JAN 2019,31.01.2019,10,MAR 2019,20.03.2019,1,Normal Warranty,Labour Only Claims,1,#,Not assigned,0,0,290,0,0,290,290,POOR PICKUP,VEHICLE REPORTED AT W S WITH THE COMPLAINT OF POOR PICKUP WEHAVECHECKED WITH INSITE ANND FOUND FAULT VCODE 3236 IN ACTIVE MODE,We Have Rectified Fault Code
2000150,SHIVAM MOTORS (P) LTD,BILASPUR,1817,2018,55301145000R,TATA Ultra 1518 5L / 45WB BS IV,ULTRA1518,ULTRA1518-LPT,MAT764011J7B03289,764011,FEB 2018,20250,Q1,ELECTRICALS,QB54159,HORN DEFECTIVE,QB54159,HORN DEFECTIVE,JUL 2018,FEB 2019,04.02.2019,7,FEB 2019,10.02.2019,1,Normal Warranty,Regular Claims,1,281654209944,HORN DISC TYPE HIGH TONE 24V,2,289.51,72.5,52.11,28.95,732.58,732.58,HORN NOT BLOWING,AFTER INVESTIGATION WE FOUND HORN NOT BLOWING DUE TO INTERNAL DEFECTIVE FAILED MAKE MINDA,Horn Replaced Under Warrantydefer Txt 0002
2000150,SHIVAM MOTORS (P) LTD,BILASPUR,1828,2018,55301145000R,TATA Ultra 1518 5L / 45WB BS IV,ULTRA1518,ULTRA1518-LPT,MAT764011J7A02205,764011,JAN 2018,41570,D3,AUTO TRANSMISSION,DN00003,LEAKAGE FROM TRANSMISSION OIL COOLER COOLANT HOSE,DN00003,LEAKAGE FROM TRANSMISSION OIL COOLER COOLANT HOSE,JAN 2018,FEB 2019,06.02.2019,13,MAR 2019,13.03.2019,1,Normal Warranty,Regular Claims,1,254801108201,CORE PLUG  42 DIA.,1,7.12,0,0.64,3720.36,3728.12,3728.12,COOLANT LEAKAGE,AFTER INVESTIGATION WE FOUND COOLANT LEAKAGE FROM TIKKI BLOWHOLE REPLACED THE SAME AND COOLANT TO UP DONE,An Amount Of Rs 3720 Claimed As Special Charge For Coolantto Up Under Warranty
2000150,SHIVAM MOTORS (P) LTD,BILASPUR,2034,2018,55325331000R,SFC407EX/31WB 4PSCR BS-IV HDLB,407,407-SFC,MAT505269J8A02934,505269,JAN 2018,17722,D1,TRANSMISSION,D100180,GUIDE PLATE WORN OUT EXCESSIVELY,DE27355,GUIDE PLATE WORNOUT/DAMAGED,MAR 2018,MAR 2019,06.03.2019,12,MAR 2019,16.03.2019,1,Normal Warranty,Regular Claims,1,253401145309,GASKET (PUSH ROD CHAMBER COVER),1,164.31,362.5,14.79,8.22,549.82,549.82,ENGINE OIL LEAKAGE,AFTER INVESTIGATION WE FOUND ENGINE OIL LEAKAGE THROUGH GUIDE PLATE REPLACED THE SAME PROBLEM RECTIFIED,Guide Plate Replaced Under Warranty
2000151,SHIVAM MOTORS (P) LTD,KORBA,164,2018,55325731000R,SFC407EX2/31WB 4SPCR BS-IV HDLB,407,407-SFC,MAT505273J8B04653,505273,FEB 2018,2800,J1,PROPELLER SHAFT,JB41019,CENTRE BEARING DEFECTIVE,JB41019,CENTRE BEARING NOISY/DEFECTIVE,FEB 2018,JUL 2018,05.07.2018,5,JUL 2018,13.07.2018,1,Normal Warranty,Regular Claims,1,265141107501,CENTER BEARING RUBBER,1,365.28,220,32.88,18.26,636.42,636.42,PROPELLER SHAFT NOISY,AFTER INVESTIGATION WE FOUND THAT PROPELLER SHAFT NOISY DUETO PROPELLERSHAFT CENTER BEARING GOT BROKEN,Failed Parts Replaced Under Warrantydefer Txt 0002
2000151,SHIVAM MOTORS (P) LTD,KORBA,164,2018,55325731000R,SFC407EX2/31WB 4SPCR BS-IV HDLB,407,407-SFC,MAT505273J8B04653,505273,FEB 2018,2800,J1,PROPELLER SHAFT,JB41019,CENTRE BEARING DEFECTIVE,JB41019,CENTRE BEARING NOISY/DEFECTIVE,FEB 2018,JUL 2018,05.07.2018,5,JUL 2018,13.07.2018,1,Normal Warranty,Regular Claims,0,553241990102,553241990102,1,530.91,0,47.78,26.55,605.24,605.24,PROPELLER SHAFT NOISY,AFTER INVESTIGATION WE FOUND THAT PROPELLER SHAFT NOISY DUETO PROPELLERSHAFT CENTER BEARING GOT BROKEN,Failed Parts Replaced Under Warrantydefer Txt 0002
2000152,SHIVAM MOTORS (P) LTD,RAIGARH,677,2018,29001342000R,TATA LPT 1109 HEX2 / 42 BS IV,1109,1109H-LPT-CRDI,MAT508582J7A01809,508582,JAN 2018,42001,D1,TRANSMISSION,D010040,ALL SYNCHRORING COMPLAINTS,DE27095,SYN.RING 3RD GEAR LOOSE/DAMAGED,APR 2018,JAN 2019,28.01.2019,9,FEB 2019,24.02.2019,1,Normal Warranty,Regular Claims,0,250526207809,OIL SEAL(REAR)(58X75X11),1,216,0,19.44,10.8,246.24,246.24,GEARBOX NOISY,AS THE VEHICLE REPORTED AT OUR W S FOR COMPLAINT GEARBOX NOISY AGAINSTWE HAVE ATTEND IT THEN GOING ON A TEST DRIVE BECAUSE TO FIND OUT THEACTUAL DEFECT DURING TRIAL WE HAVE OBSERVED THAT SUCH FAULT HAS CREATEDFROM INSIDE G B THEN REMOVED AND GOT DISMANTLED THEN CHECKED ALLPARTS COMPONENT AND FOUND THE 2ND SYNCHRO RING AND INTERMEDIATESYNCHRONIZER RING AND CONE WERE WORN OUT,Hence We Replaced The Effected Parts Under Warrantydefer Txt 0004
2000152,SHIVAM MOTORS (P) LTD,RAIGARH,677,2018,29001342000R,TATA LPT 1109 HEX2 / 42 BS IV,1109,1109H-LPT-CRDI,MAT508582J7A01809,508582,JAN 2018,42001,D1,TRANSMISSION,D010040,ALL SYNCHRORING COMPLAINTS,DE27095,SYN.RING 3RD GEAR LOOSE/DAMAGED,APR 2018,JAN 2019,28.01.2019,9,FEB 2019,24.02.2019,1,Normal Warranty,Regular Claims,0,269126257808,OIL SEAL,1,237,0,21.33,11.85,270.18,270.18,GEARBOX NOISY,AS THE VEHICLE REPORTED AT OUR W S FOR COMPLAINT GEARBOX NOISY AGAINSTWE HAVE ATTEND IT THEN GOING ON A TEST DRIVE BECAUSE TO FIND OUT THEACTUAL DEFECT DURING TRIAL WE HAVE OBSERVED THAT SUCH FAULT HAS CREATEDFROM INSIDE G B THEN REMOVED AND GOT DISMANTLED THEN CHECKED ALLPARTS COMPONENT AND FOUND THE 2ND SYNCHRO RING AND INTERMEDIATESYNCHRONIZER RING AND CONE WERE WORN OUT,Hence We Replaced The Effected Parts Under Warrantydefer Txt 0004
2000152,SHIVAM MOTORS (P) LTD,RAIGARH,677,2018,29001342000R,TATA LPT 1109 HEX2 / 42 BS IV,1109,1109H-LPT-CRDI,MAT508582J7A01809,508582,JAN 2018,42001,D1,TRANSMISSION,D010040,ALL SYNCHRORING COMPLAINTS,DE27095,SYN.RING 3RD GEAR LOOSE/DAMAGED,APR 2018,JAN 2019,28.01.2019,9,FEB 2019,24.02.2019,1,Normal Warranty,Regular Claims,0,285526201601,SYNCHRONISING CONE 108 DIA STEEL WITH CA,2,1223.44,0,220.22,122.34,2789.44,2789.44,GEARBOX NOISY,AS THE VEHICLE REPORTED AT OUR W S FOR COMPLAINT GEARBOX NOISY AGAINSTWE HAVE ATTEND IT THEN GOING ON A TEST DRIVE BECAUSE TO FIND OUT THEACTUAL DEFECT DURING TRIAL WE HAVE OBSERVED THAT SUCH FAULT HAS CREATEDFROM INSIDE G B THEN REMOVED AND GOT DISMANTLED THEN CHECKED ALLPARTS COMPONENT AND FOUND THE 2ND SYNCHRO RING AND INTERMEDIATESYNCHRONIZER RING AND CONE WERE WORN OUT,Hence We Replaced The Effected Parts Under Warrantydefer Txt 0004
2000152,SHIVAM MOTORS (P) LTD,RAIGARH,677,2018,29001342000R,TATA LPT 1109 HEX2 / 42 BS IV,1109,1109H-LPT-CRDI,MAT508582J7A01809,508582,JAN 2018,42001,D1,TRANSMISSION,D010040,ALL SYNCHRORING COMPLAINTS,DE27095,SYN.RING 3RD GEAR LOOSE/DAMAGED,APR 2018,JAN 2019,28.01.2019,9,FEB 2019,24.02.2019,1,Normal Warranty,Regular Claims,1,285526203101,DEEP GROOVE BALL BRG.(DOUBLE SEAL),1,989.78,0,89.08,49.49,1128.35,1128.35,GEARBOX NOISY,AS THE VEHICLE REPORTED AT OUR W S FOR COMPLAINT GEARBOX NOISY AGAINSTWE HAVE ATTEND IT THEN GOING ON A TEST DRIVE BECAUSE TO FIND OUT THEACTUAL DEFECT DURING TRIAL WE HAVE OBSERVED THAT SUCH FAULT HAS CREATEDFROM INSIDE G B THEN REMOVED AND GOT DISMANTLED THEN CHECKED ALLPARTS COMPONENT AND FOUND THE 2ND SYNCHRO RING AND INTERMEDIATESYNCHRONIZER RING AND CONE WERE WORN OUT,Hence We Replaced The Effected Parts Under Warrantydefer Txt 0004
2000152,SHIVAM MOTORS (P) LTD,RAIGARH,677,2018,29001342000R,TATA LPT 1109 HEX2 / 42 BS IV,1109,1109H-LPT-CRDI,MAT508582J7A01809,508582,JAN 2018,42001,D1,TRANSMISSION,D010040,ALL SYNCHRORING COMPLAINTS,DE27095,SYN.RING 3RD GEAR LOOSE/DAMAGED,APR 2018,JAN 2019,28.01.2019,9,FEB 2019,24.02.2019,1,Normal Warranty,Regular Claims,0,285526204608,SYNCHRO RING-DOUBLECONE(1ST/2ND SPEED),2,920.31,580,165.66,92.03,2678.31,2678.31,GEARBOX NOISY,AS THE VEHICLE REPORTED AT OUR W S FOR COMPLAINT GEARBOX NOISY AGAINSTWE HAVE ATTEND IT THEN GOING ON A TEST DRIVE BECAUSE TO FIND OUT THEACTUAL DEFECT DURING TRIAL WE HAVE OBSERVED THAT SUCH FAULT HAS CREATEDFROM INSIDE G B THEN REMOVED AND GOT DISMANTLED THEN CHECKED ALLPARTS COMPONENT AND FOUND THE 2ND SYNCHRO RING AND INTERMEDIATESYNCHRONIZER RING AND CONE WERE WORN OUT,Hence We Replaced The Effected Parts Under Warrantydefer Txt 0004
2000152,SHIVAM MOTORS (P) LTD,RAIGARH,677,2018,29001342000R,TATA LPT 1109 HEX2 / 42 BS IV,1109,1109H-LPT-CRDI,MAT508582J7A01809,508582,JAN 2018,42001,D1,TRANSMISSION,D010040,ALL SYNCHRORING COMPLAINTS,DE27095,SYN.RING 3RD GEAR LOOSE/DAMAGED,APR 2018,JAN 2019,28.01.2019,9,FEB 2019,24.02.2019,1,Normal Warranty,Regular Claims,0,285526204611,INNER CONE-WITH CORBON LINING (1ST/2ND),2,1178.91,0,212.2,117.89,2687.91,2687.91,GEARBOX NOISY,AS THE VEHICLE REPORTED AT OUR W S FOR COMPLAINT GEARBOX NOISY AGAINSTWE HAVE ATTEND IT THEN GOING ON A TEST DRIVE BECAUSE TO FIND OUT THEACTUAL DEFECT DURING TRIAL WE HAVE OBSERVED THAT SUCH FAULT HAS CREATEDFROM INSIDE G B THEN REMOVED AND GOT DISMANTLED THEN CHECKED ALLPARTS COMPONENT AND FOUND THE 2ND SYNCHRO RING AND INTERMEDIATESYNCHRONIZER RING AND CONE WERE WORN OUT,Hence We Replaced The Effected Parts Under Warrantydefer Txt 0004
2000152,SHIVAM MOTORS (P) LTD,RAIGARH,677,2018,29001342000R,TATA LPT 1109 HEX2 / 42 BS IV,1109,1109H-LPT-CRDI,MAT508582J7A01809,508582,JAN 2018,42001,D1,TRANSMISSION,D010040,ALL SYNCHRORING COMPLAINTS,DE27095,SYN.RING 3RD GEAR LOOSE/DAMAGED,APR 2018,JAN 2019,28.01.2019,9,FEB 2019,24.02.2019,1,Normal Warranty,Regular Claims,0,285526204612,SYNCHRONIZER RING INTERMEDIATE (1/2),2,992.19,725,178.59,1084.75,3972.72,3972.72,GEARBOX NOISY,AS THE VEHICLE REPORTED AT OUR W S FOR COMPLAINT GEARBOX NOISY AGAINSTWE HAVE ATTEND IT THEN GOING ON A TEST DRIVE BECAUSE TO FIND OUT THEACTUAL DEFECT DURING TRIAL WE HAVE OBSERVED THAT SUCH FAULT HAS CREATEDFROM INSIDE G B THEN REMOVED AND GOT DISMANTLED THEN CHECKED ALLPARTS COMPONENT AND FOUND THE 2ND SYNCHRO RING AND INTERMEDIATESYNCHRONIZER RING AND CONE WERE WORN OUT,Hence We Replaced The Effected Parts Under Warrantydefer Txt 0004
